,Checking Status,Duration,Credit History,Purpose,Credit Amount,Saving Status,Employment,Installment Commitment,Other Parties,Residence Since,Property Magnitude,Age,Other Payment Plans,Housing,Existing Credits,Job,Num Dependents,Own Telephone,Foreign Worker,Gender,Marriage
21,0,6,existing paid,radio/tv,2647,1000,4,2,none,3,real estate,44,none,rent,1,skilled,2,No telephone,Foreign,male,single
22,0,10,critical/other existing credit,new car,2241,100,0,1,none,3,real estate,48,none,rent,2,unskilled resident,2,No telephone,Not foreign,male,single
23,200,12,critical/other existing credit,used car,1804,500,0,3,none,4,life insurance,44,none,own,1,skilled,1,No telephone,Foreign,male,single
24,0,10,critical/other existing credit,furniture/equipment,2069,0,4,2,none,1,car,26,none,own,2,skilled,1,No telephone,Not foreign,male,mar/wid
25,0,6,existing paid,furniture/equipment,1374,100,4,1,none,2,real estate,36,bank,own,1,unskilled resident,1,Having telephone,Foreign,male,single
26,0,6,no credits/all paid,radio/tv,426,100,10,4,none,4,car,39,none,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
27,1000,12,all paid,radio/tv,409,1500,4,3,none,3,real estate,42,none,rent,2,skilled,1,No telephone,Foreign,female,div/dep/mar
28,200,7,existing paid,radio/tv,2415,100,4,3,guarantor,2,real estate,34,none,own,1,skilled,1,No telephone,Foreign,male,single
29,0,60,delayed previously,business,6836,100,10,3,none,4,no known property,63,none,own,2,skilled,1,Having telephone,Foreign,male,single
30,200,18,existing paid,business,1913,1500,0,3,none,3,real estate,36,bank,own,1,skilled,1,Having telephone,Foreign,male,mar/wid
31,0,24,existing paid,furniture/equipment,4020,100,4,2,none,2,car,27,stores,own,1,skilled,1,No telephone,Foreign,male,single
32,200,18,existing paid,new car,5866,500,4,2,none,2,car,30,none,own,2,skilled,1,Having telephone,Foreign,male,single
33,0,12,critical/other existing credit,business,1264,0,10,4,none,4,no known property,57,none,rent,1,unskilled resident,1,No telephone,Foreign,male,single
34,1000,12,existing paid,furniture/equipment,1474,100,0,4,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
35,200,45,critical/other existing credit,radio/tv,4746,100,0,4,none,2,life insurance,25,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
36,0,48,critical/other existing credit,education,6110,100,4,1,none,3,no known property,31,bank,for free,1,skilled,1,Having telephone,Foreign,male,single
37,1000,18,existing paid,radio/tv,2100,100,4,4,co applicant,2,real estate,37,stores,own,1,skilled,1,No telephone,Foreign,male,single
38,1000,10,existing paid,domestic appliance,1225,100,4,2,none,2,car,37,none,own,1,skilled,1,Having telephone,Foreign,male,single
39,200,9,existing paid,radio/tv,458,100,4,4,none,3,real estate,24,none,own,1,skilled,1,No telephone,Foreign,male,single
40,0,30,existing paid,radio/tv,2333,1000,10,4,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,male,single
41,200,12,existing paid,radio/tv,1158,1000,4,3,none,1,car,26,none,own,1,skilled,1,Having telephone,Foreign,male,div/sep
42,200,18,delayed previously,repairs,6204,100,4,2,none,4,real estate,44,none,own,1,unskilled resident,2,Having telephone,Foreign,male,single
43,0,30,critical/other existing credit,used car,6187,500,7,1,none,4,car,24,none,rent,2,skilled,1,No telephone,Foreign,male,mar/wid
44,0,48,critical/other existing credit,used car,6143,100,10,4,none,4,no known property,58,stores,for free,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
45,0,11,critical/other existing credit,new car,1393,100,0,4,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,No telephone,Foreign,female,div/dep/mar
46,0,36,existing paid,radio/tv,2299,1000,10,4,none,4,car,39,none,own,1,skilled,1,No telephone,Foreign,male,single
47,0,6,existing paid,used car,1352,1000,unemployed,1,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,Having telephone,Foreign,female,div/dep/mar
48,0,11,critical/other existing credit,new car,7228,100,4,1,none,4,life insurance,39,none,own,2,unskilled resident,1,No telephone,Foreign,male,single
49,0,12,existing paid,radio/tv,2073,500,4,4,co applicant,2,real estate,28,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
50,200,24,delayed previously,furniture/equipment,2333,0,0,4,none,2,life insurance,29,bank,own,1,unskilled resident,1,No telephone,Foreign,male,single
51,200,27,delayed previously,used car,5965,100,10,1,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
52,0,12,existing paid,radio/tv,1262,100,4,3,none,2,car,25,none,own,1,skilled,1,No telephone,Foreign,male,single
53,0,18,existing paid,used car,3378,0,4,2,none,1,life insurance,31,none,own,1,skilled,1,Having telephone,Foreign,male,single
54,200,36,delayed previously,new car,2225,100,10,4,none,4,no known property,57,bank,for free,2,skilled,1,Having telephone,Foreign,male,single
55,0,6,all paid,new car,783,0,4,1,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,No telephone,Foreign,male,single
56,200,12,existing paid,radio/tv,6468,0,unemployed,2,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
57,0,36,critical/other existing credit,radio/tv,9566,100,4,2,none,2,car,31,stores,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
58,1000,18,existing paid,new car,1961,100,10,3,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,female,div/dep/mar
59,0,36,critical/other existing credit,furniture/equipment,6229,100,0,4,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
60,200,9,existing paid,business,1391,100,4,2,none,1,real estate,27,bank,own,1,skilled,1,Having telephone,Foreign,male,mar/wid
61,200,15,critical/other existing credit,radio/tv,1537,0,10,4,guarantor,4,real estate,50,none,own,2,skilled,1,Having telephone,Foreign,male,single
62,200,36,no credits/all paid,business,1953,100,10,4,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
63,200,48,no credits/all paid,business,14421,100,4,2,none,2,car,25,none,own,1,skilled,1,Having telephone,Foreign,male,single
64,0,24,existing paid,radio/tv,3181,100,0,4,none,4,life insurance,26,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
65,0,27,existing paid,repairs,5190,0,10,4,none,4,life insurance,48,none,own,4,skilled,2,Having telephone,Foreign,male,single
66,0,12,existing paid,radio/tv,2171,100,0,2,none,2,car,29,bank,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
67,200,12,existing paid,new car,1007,1500,4,4,none,1,real estate,22,none,own,1,skilled,1,No telephone,Foreign,male,mar/wid
68,0,36,existing paid,education,1819,100,4,4,none,4,no known property,37,stores,for free,1,skilled,1,Having telephone,Foreign,male,single
69,0,36,existing paid,radio/tv,2394,0,4,4,none,4,car,25,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
70,0,36,existing paid,used car,8133,100,4,1,none,2,life insurance,30,bank,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
71,0,7,critical/other existing credit,radio/tv,730,0,10,4,none,2,life insurance,46,none,rent,2,unskilled resident,1,Having telephone,Foreign,male,single
72,0,8,critical/other existing credit,other,1164,100,10,3,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
73,200,42,critical/other existing credit,business,5954,100,7,2,none,1,real estate,41,bank,own,2,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
74,0,36,existing paid,education,1977,0,10,4,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
75,0,12,critical/other existing credit,used car,1526,100,10,4,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,No telephone,Foreign,male,single
76,0,42,existing paid,radio/tv,3965,100,0,4,none,3,car,34,none,own,1,skilled,1,No telephone,Foreign,male,single
77,200,11,delayed previously,radio/tv,4771,100,7,2,none,4,life insurance,51,none,own,1,skilled,1,No telephone,Foreign,male,single
78,0,54,no credits/all paid,used car,9436,0,4,2,none,2,life insurance,39,none,own,1,unskilled resident,2,No telephone,Foreign,male,single
79,200,30,existing paid,furniture/equipment,3832,100,0,2,none,1,life insurance,22,none,own,1,skilled,1,No telephone,Foreign,male,mar/wid
80,0,24,existing paid,radio/tv,5943,0,0,1,none,1,car,44,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
81,0,15,existing paid,radio/tv,1213,1000,10,4,none,3,life insurance,47,stores,own,1,skilled,1,Having telephone,Foreign,male,single
82,0,18,existing paid,business,1568,500,4,3,none,4,life insurance,24,none,rent,1,unskilled resident,1,No telephone,Foreign,female,div/dep/mar
83,0,24,existing paid,other,1755,100,10,4,guarantor,4,real estate,58,none,own,1,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
84,0,10,existing paid,radio/tv,2315,100,10,3,none,4,real estate,52,none,own,1,unskilled resident,1,No telephone,Foreign,male,single
85,0,12,critical/other existing credit,business,1412,100,4,4,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
86,200,18,critical/other existing credit,furniture/equipment,1295,100,0,4,none,1,life insurance,27,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
87,200,36,existing paid,education,12612,500,4,1,none,4,no known property,47,none,for free,1,skilled,2,Having telephone,Foreign,male,single
88,0,18,existing paid,new car,2249,500,7,4,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
89,0,12,no credits/all paid,repairs,1108,100,7,4,none,3,real estate,28,none,own,2,skilled,1,No telephone,Foreign,male,single
90,0,12,critical/other existing credit,radio/tv,618,100,10,4,none,4,real estate,56,none,own,1,skilled,1,No telephone,Foreign,male,single
91,0,12,critical/other existing credit,used car,1409,100,10,4,none,3,real estate,54,none,own,1,skilled,1,No telephone,Foreign,male,single
92,0,12,critical/other existing credit,radio/tv,797,0,10,4,none,3,life insurance,33,bank,own,1,unskilled resident,2,No telephone,Foreign,female,div/dep/mar
93,1000,24,critical/other existing credit,furniture/equipment,3617,0,10,4,co applicant,4,no known property,20,none,rent,2,skilled,1,No telephone,Foreign,male,single
94,200,12,existing paid,new car,1318,1500,10,4,none,4,real estate,54,none,own,1,skilled,1,Having telephone,Foreign,male,single
95,200,54,no credits/all paid,business,15945,100,0,3,none,4,no known property,58,none,rent,1,skilled,1,Having telephone,Foreign,male,single
96,0,12,critical/other existing credit,education,2012,0,7,4,none,2,car,61,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
97,200,18,existing paid,business,2622,500,4,4,none,4,car,34,none,own,1,skilled,1,No telephone,Foreign,male,single
98,200,36,critical/other existing credit,radio/tv,2337,100,10,4,none,4,real estate,36,none,own,1,skilled,1,No telephone,Foreign,male,single
99,200,20,delayed previously,used car,7057,0,7,3,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
100,0,24,existing paid,new car,1469,500,10,4,none,4,real estate,41,none,rent,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
101,200,36,existing paid,radio/tv,2323,100,7,4,none,4,car,24,none,rent,1,skilled,1,No telephone,Foreign,male,single
102,0,6,delayed previously,radio/tv,932,100,4,3,none,2,real estate,24,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
103,200,9,critical/other existing credit,furniture/equipment,1919,100,7,4,none,3,car,35,none,rent,1,skilled,1,Having telephone,Foreign,male,single
104,0,12,existing paid,used car,2445,0,0,2,none,4,car,26,none,rent,1,skilled,1,Having telephone,Foreign,male,mar/wid
105,200,24,critical/other existing credit,other,11938,100,4,2,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
106,0,18,all paid,new car,6458,100,10,2,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
107,200,12,existing paid,new car,6078,100,7,2,none,2,car,32,none,own,1,skilled,1,No telephone,Foreign,male,single
108,0,24,existing paid,furniture/equipment,7721,0,0,1,none,2,life insurance,30,none,own,1,skilled,1,Having telephone,Not foreign,female,div/dep/mar
109,200,14,existing paid,business,1410,1000,10,1,none,2,real estate,35,none,own,1,skilled,1,Having telephone,Foreign,male,mar/wid
110,200,6,delayed previously,business,1449,500,10,1,none,2,car,31,bank,own,2,skilled,2,No telephone,Foreign,male,div/sep
111,1000,15,existing paid,education,392,100,0,4,none,4,life insurance,23,none,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
112,200,18,existing paid,new car,6260,100,7,3,none,3,real estate,28,none,rent,1,unskilled resident,1,No telephone,Foreign,male,single
113,0,36,critical/other existing credit,new car,7855,100,4,4,none,2,real estate,25,stores,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
114,0,12,existing paid,radio/tv,1680,1000,10,3,none,1,real estate,35,none,own,1,skilled,1,No telephone,Foreign,male,mar/wid
115,0,48,critical/other existing credit,radio/tv,3578,0,10,4,none,1,real estate,47,none,own,1,skilled,1,Having telephone,Foreign,male,single
116,0,42,existing paid,radio/tv,7174,0,7,4,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
117,0,10,critical/other existing credit,furniture/equipment,2132,0,0,2,co applicant,3,real estate,27,none,rent,2,skilled,1,No telephone,Not foreign,female,div/dep/mar
118,0,33,critical/other existing credit,furniture/equipment,4281,1000,4,1,none,4,car,23,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
119,200,12,critical/other existing credit,new car,2366,1000,7,3,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,div/sep
120,0,21,existing paid,radio/tv,1835,100,4,3,none,2,real estate,25,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
121,0,24,critical/other existing credit,used car,3868,100,10,4,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
122,0,12,existing paid,furniture/equipment,1768,100,4,3,none,2,real estate,24,none,rent,1,unskilled resident,1,No telephone,Foreign,male,single
123,1000,10,critical/other existing credit,new car,781,100,10,4,none,4,no known property,63,none,for free,2,skilled,1,Having telephone,Foreign,male,single
124,200,18,existing paid,furniture/equipment,1924,0,0,4,none,3,real estate,27,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
125,0,12,critical/other existing credit,new car,2121,100,4,4,none,2,life insurance,30,none,own,2,skilled,1,No telephone,Foreign,male,single
126,0,12,existing paid,radio/tv,701,100,4,4,none,2,real estate,40,none,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
127,200,12,existing paid,repairs,639,100,4,4,none,2,car,30,none,own,1,skilled,1,No telephone,Foreign,male,single
128,200,12,critical/other existing credit,used car,1860,100,unemployed,4,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
129,0,12,critical/other existing credit,new car,3499,100,4,3,co applicant,2,real estate,29,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
130,200,48,existing paid,new car,8487,0,7,1,none,2,car,24,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
131,0,36,delayed previously,education,6887,100,4,4,none,3,life insurance,29,stores,own,1,skilled,1,Having telephone,Foreign,male,single
132,0,15,existing paid,furniture/equipment,2708,100,0,2,none,3,life insurance,27,bank,own,2,unskilled resident,1,No telephone,Foreign,male,single
133,0,18,existing paid,furniture/equipment,1984,100,4,4,none,4,no known property,47,bank,for free,2,skilled,1,No telephone,Foreign,male,single
134,0,60,existing paid,radio/tv,10144,500,7,2,none,4,real estate,21,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
135,0,12,critical/other existing credit,radio/tv,1240,0,10,4,none,2,real estate,38,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
136,0,27,delayed previously,used car,8613,1500,4,2,none,2,car,27,none,own,2,skilled,1,No telephone,Foreign,male,single
137,200,12,existing paid,radio/tv,766,1000,4,4,none,3,real estate,66,none,own,1,unskilled resident,1,No telephone,Foreign,male,single
138,200,15,critical/other existing credit,radio/tv,2728,0,7,4,guarantor,2,real estate,35,bank,own,3,skilled,1,Having telephone,Foreign,male,single
139,1000,12,existing paid,radio/tv,1881,100,4,2,none,2,car,44,none,rent,1,unskilled resident,1,Having telephone,Foreign,female,div/dep/mar
140,1000,6,existing paid,new car,709,1500,0,2,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,No telephone,Not foreign,male,mar/wid
141,200,36,existing paid,radio/tv,4795,100,0,4,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
142,0,27,existing paid,radio/tv,3416,100,4,3,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,No telephone,Foreign,male,single
143,0,18,existing paid,furniture/equipment,2462,100,4,2,none,2,car,22,none,own,1,skilled,1,No telephone,Foreign,male,single
144,0,21,critical/other existing credit,furniture/equipment,2288,100,0,4,none,4,life insurance,23,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
145,200,48,all paid,business,3566,500,7,4,none,2,car,30,none,own,1,skilled,1,No telephone,Foreign,male,single
146,0,6,critical/other existing credit,new car,860,100,10,1,none,4,no known property,39,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
147,0,12,critical/other existing credit,new car,682,500,7,4,none,3,car,51,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
148,0,36,critical/other existing credit,furniture/equipment,5371,100,4,3,guarantor,2,life insurance,28,none,own,2,skilled,1,No telephone,Foreign,male,single
149,0,18,critical/other existing credit,radio/tv,1582,1500,10,4,none,4,car,46,none,own,2,skilled,1,No telephone,Foreign,male,single
150,0,6,existing paid,radio/tv,1346,500,10,2,none,4,no known property,42,bank,for free,1,skilled,2,Having telephone,Foreign,male,single
151,0,10,existing paid,radio/tv,1924,100,4,1,none,4,life insurance,38,none,own,1,skilled,1,Having telephone,Not foreign,male,single
152,1000,36,existing paid,radio/tv,5848,100,4,4,none,1,car,24,none,own,1,skilled,1,No telephone,Foreign,male,single
153,200,24,critical/other existing credit,used car,7758,1500,10,2,none,4,no known property,29,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
154,200,24,delayed previously,business,6967,500,7,4,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
155,0,12,existing paid,furniture/equipment,1282,100,4,2,none,4,car,20,none,rent,1,skilled,1,No telephone,Foreign,female,div/dep/mar
156,0,9,critical/other existing credit,repairs,1288,500,10,3,guarantor,4,real estate,48,none,own,2,skilled,2,No telephone,Not foreign,male,single
157,0,12,all paid,retraining,339,100,10,4,none,1,car,45,bank,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
158,200,24,existing paid,new car,3512,500,7,2,none,3,car,38,bank,own,2,skilled,1,Having telephone,Foreign,male,single
159,0,6,critical/other existing credit,radio/tv,1898,0,4,1,none,2,real estate,34,none,own,2,unskilled resident,2,No telephone,Foreign,male,single
160,0,24,critical/other existing credit,radio/tv,2872,500,10,3,none,4,real estate,36,none,own,1,skilled,2,Having telephone,Foreign,male,single
161,0,18,critical/other existing credit,new car,1055,100,0,4,none,1,life insurance,30,none,own,2,skilled,1,No telephone,Foreign,female,div/dep/mar
162,0,15,existing paid,domestic appliance,1262,1000,7,4,none,3,life insurance,36,none,own,2,skilled,1,Having telephone,Foreign,male,single
163,200,10,existing paid,new car,7308,100,unemployed,2,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
164,0,36,existing paid,new car,909,1000,10,4,none,4,life insurance,36,none,own,1,skilled,1,No telephone,Foreign,male,single
165,0,6,existing paid,furniture/equipment,2978,1000,4,1,none,2,car,32,none,own,1,skilled,1,Having telephone,Foreign,male,single
166,0,18,existing paid,furniture/equipment,1131,100,unemployed,4,none,2,car,33,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
167,200,11,existing paid,furniture/equipment,1577,1500,0,4,none,1,real estate,20,none,own,1,skilled,1,No telephone,Foreign,female,div/dep/mar
168,0,24,existing paid,furniture/equipment,3972,100,7,2,none,4,life insurance,25,none,rent,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
169,200,24,critical/other existing credit,business,1935,100,10,4,none,4,real estate,31,none,own,2,skilled,1,Having telephone,Foreign,male,div/sep
170,0,15,no credits/all paid,new car,950,100,10,4,none,3,car,33,none,rent,2,skilled,2,No telephone,Foreign,male,single
171,0,12,existing paid,furniture/equipment,763,100,4,4,none,1,real estate,26,none,own,1,skilled,1,Having telephone,Foreign,female,div/dep/mar
172,200,24,delayed previously,furniture/equipment,2064,100,unemployed,3,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
173,200,8,existing paid,radio/tv,1414,100,4,4,guarantor,2,real estate,33,none,own,1,skilled,1,No telephone,Not foreign,male,single
174,0,21,delayed previously,education,3414,100,0,2,none,1,life insurance,26,none,own,2,skilled,1,No telephone,Foreign,male,single
175,0,30,all paid,used car,7485,0,unemployed,4,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
176,0,12,existing paid,furniture/equipment,2577,100,4,2,none,1,car,42,none,own,1,skilled,1,No telephone,Foreign,male,div/sep
177,0,6,critical/other existing credit,radio/tv,338,1000,10,4,none,4,car,52,none,own,2,skilled,1,No telephone,Foreign,male,single
178,0,12,existing paid,radio/tv,1963,100,7,4,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,Having telephone,Foreign,male,single
179,0,21,critical/other existing credit,new car,571,100,10,4,none,4,real estate,65,none,own,2,skilled,1,No telephone,Foreign,male,single
180,0,36,delayed previously,business,9572,100,0,1,none,1,car,28,none,own,2,skilled,1,No telephone,Foreign,male,div/sep
181,200,36,delayed previously,business,4455,100,4,2,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,div/sep
182,0,21,all paid,new car,1647,0,4,4,none,2,life insurance,40,none,own,2,unskilled resident,2,No telephone,Foreign,male,single
183,0,24,critical/other existing credit,furniture/equipment,3777,1500,4,4,none,4,real estate,50,none,own,1,skilled,1,Having telephone,Foreign,male,single
184,200,18,critical/other existing credit,new car,884,100,10,4,none,4,car,36,bank,own,1,skilled,2,Having telephone,Foreign,male,single
185,0,15,critical/other existing credit,radio/tv,1360,100,4,4,none,2,life insurance,31,none,own,2,skilled,1,No telephone,Foreign,male,single
186,200,9,all paid,used car,5129,100,10,2,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,Having telephone,Foreign,female,div/dep/mar
187,200,16,critical/other existing credit,new car,1175,100,unemployed,2,none,3,car,68,none,for free,3,unemp/unskilled non res,1,Having telephone,Foreign,male,single
188,0,12,existing paid,radio/tv,674,500,7,4,none,1,life insurance,20,none,own,1,skilled,1,No telephone,Foreign,male,mar/wid
189,200,18,no credits/all paid,furniture/equipment,3244,100,4,1,none,4,car,33,bank,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
190,0,24,existing paid,business,4591,1500,4,2,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,single
191,200,48,no credits/all paid,business,3844,500,7,4,none,4,no known property,34,none,for free,1,unskilled resident,2,No telephone,Foreign,male,single
192,200,27,existing paid,business,3915,100,4,4,none,2,car,36,none,own,1,skilled,2,Having telephone,Foreign,male,single
193,0,6,existing paid,radio/tv,2108,100,7,2,none,2,real estate,29,none,rent,1,skilled,1,No telephone,Foreign,male,mar/wid
194,200,45,existing paid,radio/tv,3031,500,4,4,guarantor,4,life insurance,21,none,rent,1,skilled,1,No telephone,Foreign,male,single
195,200,9,critical/other existing credit,education,1501,100,10,2,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,Having telephone,Foreign,female,div/dep/mar
196,0,6,critical/other existing credit,radio/tv,1382,100,4,1,none,1,car,28,none,own,2,skilled,1,Having telephone,Foreign,female,div/dep/mar
197,200,12,existing paid,furniture/equipment,951,500,0,4,none,4,car,27,bank,rent,4,skilled,1,No telephone,Foreign,female,div/dep/mar
198,200,24,existing paid,used car,2760,0,10,4,none,4,no known property,36,bank,for free,1,skilled,1,Having telephone,Foreign,male,single
199,200,18,delayed previously,furniture/equipment,4297,100,10,4,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,Having telephone,Foreign,male,div/sep
200,0,9,critical/other existing credit,education,936,1000,10,4,none,2,car,52,none,own,2,skilled,1,Having telephone,Foreign,male,single
201,0,12,existing paid,new car,1168,100,4,4,none,3,real estate,27,none,own,1,unskilled resident,1,No telephone,Foreign,male,mar/wid
202,0,27,delayed previously,business,5117,100,7,3,none,4,car,26,none,own,2,skilled,1,No telephone,Foreign,male,single
